Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW,SNWD
1991/1/1,44,49,42,0.12,,
1991/1/2,40,42,38,0,,
1991/1/3,41,45,38,0,,
1991/1/4,37,40,33,0.01,,
1991/1/5,35,41,31,0.02,,
1991/1/6,38,48,28,0,,
1991/1/7,39,43,35,0,,
1991/1/8,35,39,33,0,,
1991/1/9,32,39,27,0,,
1991/1/10,39,45,31,0.15,,
1991/1/11,38,42,35,0.14,,
1991/1/12,37,46,31,0,,
1991/1/13,38,43,36,0,,
1991/1/14,39,43,36,0,,
1991/1/15,37,47,31,0,,
1991/1/16,44,53,35,0,,
1991/1/17,43,49,39,0,,
1991/1/18,44,49,40,0,,
1991/1/19,47,51,43,0.11,,
1991/1/20,50,51,47,0.61,,
1991/1/21,47,51,45,0.22,,
1991/1/22,42,45,40,0,,
1991/1/23,42,46,38,0.3,,
1991/1/24,41,44,39,0.13,,
1991/1/25,40,42,39,0,,
1991/1/26,41,44,35,0,,
1991/1/27,42,48,38,0,,
1991/1/28,43,45,41,0,,
1991/1/29,43,47,41,0,,
1991/1/30,42,48,39,0,,
1991/1/31,39,42,37,0,,
1991/2/1,37,44,31,0,,
1991/2/2,38,44,31,0,,
1991/2/3,39,42,35,0,,
1991/2/4,39,47,33,0,,
1991/2/5,39,46,32,0,,
1991/2/6,42,43,40,0.16,,
1991/2/7,43,47,41,0.02,,
1991/2/8,44,53,32,0,,
1991/2/9,54,62,49,0.31,,
1991/2/10,47,52,46,0.09,,
1991/2/11,47,53,44,0,,
1991/2/12,46,48,44,0,,
1991/2/13,47,48,46,1.24,,
1991/2/14,47,48,46,0.44,,
1991/2/15,45,50,42,0.58,,
1991/2/16,43,48,38,0,,
1991/2/17,42,46,38,0,,
1991/2/18,43,48,40,0,,
1991/2/19,41,45,37,0,,
1991/2/20,38,45,30,0,,
1991/2/21,39,47,31,0,,
1991/2/22,39,47,35,0,,
1991/2/23,34,39,32,0,,
1991/2/24,35,42,31,0,,
1991/2/25,39,45,33,0,,
1991/2/26,48,57,39,0,,
1991/2/27,55,60,51,0.6,,
1991/2/28,44,55,39,0.63,,
1991/3/1,40,44,33,0.59,,
1991/3/2,42,45,40,0,,
1991/3/3,43,48,33,0,,
1991/3/4,49,54,45,0.22,,
1991/3/5,47,53,40,0.03,,
1991/3/6,51,55,48,0.01,,
1991/3/7,56,70,48,0.72,,
1991/3/8,43,51,41,0.25,,
1991/3/9,41,45,38,0,,
1991/3/10,49,61,44,0,,
1991/3/11,44,49,42,0.15,,
1991/3/12,44,48,41,0.02,,
1991/3/13,47,51,45,0,,
1991/3/14,44,47,41,0.01,,
1991/3/15,41,42,40,0.22,,
1991/3/16,43,50,40,0,,
1991/3/17,46,53,38,0,,
1991/3/18,50,62,42,0,,
1991/3/19,58,71,48,0,,
1991/3/20,56,66,49,0,,
1991/3/21,47,49,45,2.1,,
1991/3/22,47,51,43,0.7,,
1991/3/23,48,54,44,0,,
